t,y
4.900000,-0.186512
4.910000,-0.196327
4.920000,-0.206123
4.930000,-0.215898
4.940000,-0.225651
4.950000,-0.235381
4.960000,-0.245089
4.970000,-0.254771
4.980000,-0.264428
4.990000,-0.274059
5.000000,-0.283662
5.010000,-0.293237
5.020000,-0.302783
5.030000,-0.312298
5.040000,-0.321782
5.050000,-0.331234
5.060000,-0.340653
5.070000,-0.350037
5.080000,-0.359387
5.090000,-0.368701
5.100000,-0.377978
5.110000,-0.387217
5.120000,-0.396417
5.130000,-0.405578
5.140000,-0.414698
5.150000,-0.423777
5.160000,-0.432813
5.170000,-0.441806
5.180000,-0.450755
5.190000,-0.459659
5.200000,-0.468517
5.210000,-0.477328
5.220000,-0.486091
5.230000,-0.494806
5.240000,-0.503471
5.250000,-0.512085
5.260000,-0.520649
5.270000,-0.529161
5.280000,-0.537619
5.290000,-0.546024
5.300000,-0.554374
5.310000,-0.562669
5.320000,-0.570908
5.330000,-0.579089
5.340000,-0.587213
5.350000,-0.595278
5.360000,-0.603283
5.370000,-0.611228
5.380000,-0.619112
5.390000,-0.626934
5.400000,-0.634693
5.410000,-0.642389
5.420000,-0.650020
5.430000,-0.657587
5.440000,-0.665088
5.450000,-0.672522
5.460000,-0.679889
5.470000,-0.687188
5.480000,-0.694418
5.490000,-0.701579
5.500000,-0.708670
5.510000,-0.715690
5.520000,-0.722638
5.530000,-0.729514
5.540000,-0.736317
5.550000,-0.743046
5.560000,-0.749702
5.570000,-0.756282
5.580000,-0.762786
5.590000,-0.769215
5.600000,-0.775566
5.610000,-0.781840
5.620000,-0.788035
5.630000,-0.794152
5.640000,-0.800189
5.650000,-0.806147
5.660000,-0.812024
5.670000,-0.817819
5.680000,-0.823533
5.690000,-0.829164
5.700000,-0.834713
5.710000,-0.840178
5.720000,-0.845559
5.730000,-0.850855
5.740000,-0.856067
5.750000,-0.861192
5.760000,-0.866232
5.770000,-0.871185
5.780000,-0.876051
5.790000,-0.880829
5.800000,-0.885520
5.810000,-0.890121
5.820000,-0.894634
5.830000,-0.899057
5.840000,-0.903390
5.850000,-0.907633
5.860000,-0.911785
5.870000,-0.915846
5.880000,-0.919816
5.890000,-0.923693
5.900000,-0.927478
5.910000,-0.931171
5.920000,-0.934770
5.930000,-0.938276
5.940000,-0.941688
5.950000,-0.945005
5.960000,-0.948229
5.970000,-0.951357
5.980000,-0.954390
5.990000,-0.957328
6.000000,-0.960170
6.010000,-0.962916
6.020000,-0.965566
6.030000,-0.968119
6.040000,-0.970576
6.050000,-0.972935
6.060000,-0.975197
6.070000,-0.977362
6.080000,-0.979429
6.090000,-0.981398
6.100000,-0.983268
6.110000,-0.985041
6.120000,-0.986715
6.130000,-0.988290
6.140000,-0.989766
6.150000,-0.991144
6.160000,-0.992422
6.170000,-0.993601
6.180000,-0.994681
6.190000,-0.995661
6.200000,-0.996542
6.210000,-0.997323
6.220000,-0.998004
6.230000,-0.998586
6.240000,-0.999068
6.250000,-0.999449
6.260000,-0.999731
6.270000,-0.999913
6.280000,-0.999995
6.290000,-0.999977
6.300000,-0.999859
6.310000,-0.999641
6.320000,-0.999322
6.330000,-0.998904
6.340000,-0.998386
6.350000,-0.997769
6.360000,-0.997051
6.370000,-0.996234
6.380000,-0.995317
6.390000,-0.994301
6.400000,-0.993185
6.410000,-0.991970
6.420000,-0.990655
6.430000,-0.989242
6.440000,-0.987730
6.450000,-0.986119
6.460000,-0.984409
6.470000,-0.982601
6.480000,-0.980694
6.490000,-0.978690
6.500000,-0.976588
6.510000,-0.974388
6.520000,-0.972090
6.530000,-0.969696
6.540000,-0.967204
6.550000,-0.964616
6.560000,-0.961931
6.570000,-0.959150
6.580000,-0.956273
6.590000,-0.953300
6.600000,-0.950233
6.610000,-0.947070
6.620000,-0.943812
6.630000,-0.940460
6.640000,-0.937014
6.650000,-0.933474
6.660000,-0.929841
6.670000,-0.926115
6.680000,-0.922297
6.690000,-0.918386
6.700000,-0.914383
6.710000,-0.910289
6.720000,-0.906104
6.730000,-0.901828
6.740000,-0.897462
6.750000,-0.893006
6.760000,-0.888461
6.770000,-0.883827
6.780000,-0.879105
6.790000,-0.874295
6.800000,-0.869397
6.810000,-0.864413
6.820000,-0.859342
6.830000,-0.854185
6.840000,-0.848943
6.850000,-0.843616
6.860000,-0.838204
6.870000,-0.832709
6.880000,-0.827130
6.890000,-0.821469
6.900000,-0.815725
6.910000,-0.809900
6.920000,-0.803994
6.930000,-0.798007
6.940000,-0.791941
6.950000,-0.785796
6.960000,-0.779572
6.970000,-0.773270
6.980000,-0.766890
6.990000,-0.760434
7.000000,-0.753902
7.010000,-0.747295
7.020000,-0.740613
7.030000,-0.733856
7.040000,-0.727027
7.050000,-0.720124
7.060000,-0.713150
7.070000,-0.706104
7.080000,-0.698988
7.090000,-0.691802
7.100000,-0.684547
7.110000,-0.677223
7.120000,-0.669831
7.130000,-0.662373
7.140000,-0.654848
7.150000,-0.647258
7.160000,-0.639603
7.170000,-0.631884
7.180000,-0.624102
7.190000,-0.616257
7.200000,-0.608351
7.210000,-0.600384
7.220000,-0.592357
7.230000,-0.584271
7.240000,-0.576126
7.250000,-0.567924
7.260000,-0.559665
7.270000,-0.551350
7.280000,-0.542980
7.290000,-0.534555
7.300000,-0.526078
7.310000,-0.517547
7.320000,-0.508965
7.330000,-0.500332
7.340000,-0.491648
7.350000,-0.482916
7.360000,-0.474135
7.370000,-0.465307
7.380000,-0.456433
7.390000,-0.447512
7.400000,-0.438547
7.410000,-0.429538
7.420000,-0.420487
7.430000,-0.411393
7.440000,-0.402258
7.450000,-0.393083
7.460000,-0.383868
7.470000,-0.374615
7.480000,-0.365325
7.490000,-0.355998
7.500000,-0.346635
7.510000,-0.337238
7.520000,-0.327807
7.530000,-0.318344
7.540000,-0.308848
7.550000,-0.299322
7.560000,-0.289765
7.570000,-0.280180
7.580000,-0.270567
7.590000,-0.260926
7.600000,-0.251260
7.610000,-0.241568
7.620000,-0.231852
7.630000,-0.222114
7.640000,-0.212352
7.650000,-0.202570
7.660000,-0.192767
7.670000,-0.182945
7.680000,-0.173105
7.690000,-0.163248
7.700000,-0.153374
7.710000,-0.143485
7.720000,-0.133581
7.730000,-0.123664
7.740000,-0.113735
7.750000,-0.103794
7.760000,-0.093843
7.770000,-0.083883
7.780000,-0.073914
7.790000,-0.063938
7.800000,-0.053955
7.810000,-0.043967
7.820000,-0.033975
7.830000,-0.023979
7.840000,-0.013981
7.850000,-0.003982
7.860000,0.006018
7.870000,0.016018
7.880000,0.026015
7.890000,0.036011
7.900000,0.046002
7.910000,0.055989
7.920000,0.065970
7.930000,0.075945
7.940000,0.085912
7.950000,0.095871
7.960000,0.105820
7.970000,0.115758
7.980000,0.125685
7.990000,0.135599
8.000000,0.145500
8.010000,0.155386
8.020000,0.165257
8.030000,0.175111
8.040000,0.184947
8.050000,0.194765
8.060000,0.204564
8.070000,0.214342
8.080000,0.224099
8.090000,0.233833
8.100000,0.243544
8.110000,0.253231
8.120000,0.262892
8.130000,0.272527
8.140000,0.282135
8.150000,0.291714
8.160000,0.301264
8.170000,0.310785
8.180000,0.320274
8.190000,0.329731
8.200000,0.339155
8.210000,0.348545
8.220000,0.357900
8.230000,0.367220
8.240000,0.376503
8.250000,0.385748
8.260000,0.394955
8.270000,0.404122
8.280000,0.413248
8.290000,0.422334
8.300000,0.431377
8.310000,0.440377
8.320000,0.449333
8.330000,0.458244
8.340000,0.467109
8.350000,0.475928
8.360000,0.484698
8.370000,0.493421
8.380000,0.502094
8.390000,0.510717
8.400000,0.519289
8.410000,0.527809
8.420000,0.536276
8.430000,0.544689
8.440000,0.553048
8.450000,0.561352
8.460000,0.569599
8.470000,0.577790
8.480000,0.585923
8.490000,0.593997
8.500000,0.602012
8.510000,0.609967
8.520000,0.617860
8.530000,0.625692
8.540000,0.633461
8.550000,0.641167
8.560000,0.648809
8.570000,0.656386
8.580000,0.663897
8.590000,0.671342
8.600000,0.678720
8.610000,0.686030
8.620000,0.693271
8.630000,0.700443
8.640000,0.707545
8.650000,0.714576
8.660000,0.721536
8.670000,0.728424
8.680000,0.735238
8.690000,0.741980
8.700000,0.748647
8.710000,0.755239
8.720000,0.761755
8.730000,0.768196
8.740000,0.774560
8.750000,0.780846
8.760000,0.787054
8.770000,0.793183
8.780000,0.799233
8.790000,0.805203
8.800000,0.811093
8.810000,0.816902
8.820000,0.822628
8.830000,0.828273
8.840000,0.833835
8.850000,0.839313
8.860000,0.844707
8.870000,0.850017
8.880000,0.855242
8.890000,0.860382
8.900000,0.865435
8.910000,0.870402
8.920000,0.875282
8.930000,0.880074
8.940000,0.884778
8.950000,0.889394
8.960000,0.893921
8.970000,0.898359
8.980000,0.902706
8.990000,0.906964
9.000000,0.911130
9.010000,0.915206
9.020000,0.919190
9.030000,0.923082
9.040000,0.926882
9.050000,0.930589
9.060000,0.934203
9.070000,0.937724
9.080000,0.941151
9.090000,0.944483
9.100000,0.947722
9.110000,0.950865
9.120000,0.953914
9.130000,0.956867
9.140000,0.959724
9.150000,0.962485
9.160000,0.965151
