t,y
0.000000,-1.000000
1.000000,-0.540138
2.000000,0.416654
3.000000,0.990705
4.000000,0.654235
5.000000,-0.283406
6.000000,-0.960156
7.000000,-0.753814
8.000000,0.145910
9.000000,0.911814
10.000000,0.839730
11.000000,-0.004069
12.000000,-0.843798
